age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,length_of_stay,Class
51,M,Non-Caucasian,Greater than 45,Low,Male,2,-1,1,98241,1
29,M,Caucasian,25 - 45,Low,Male,2,-1,2,61300,2
51,F,Non-Caucasian,Greater than 45,Low,Female,7,-1,2,144341,1
29,F,Non-Caucasian,25 - 45,Medium,Male,0,0,7,16903,2
25,M,Caucasian,25 - 45,High,Male,9,-1,10,601787,2
35,F,Non-Caucasian,25 - 45,High,Male,13,-1,8,78148,2
49,M,Caucasian,Greater than 45,Low,Male,0,0,1,13711,1
29,F,Non-Caucasian,25 - 45,Low,Male,0,0,4,13908,1
29,F,Caucasian,25 - 45,Low,Male,1,-24,2,8666,2
28,F,Non-Caucasian,25 - 45,Low,Female,0,-1,2,80418,1
31,F,Non-Caucasian,25 - 45,Medium,Male,15,-1,5,11748053,1
24,F,Non-Caucasian,Less than 25,Low,Male,2,-1,4,161803,2
30,M,Non-Caucasian,25 - 45,Medium,Male,0,0,7,2010322,1
49,M,Non-Caucasian,Greater than 45,Low,Male,4,-1,1,78040,1
53,F,Caucasian,Greater than 45,Medium,Male,8,-13,5,1128625,1
35,F,Non-Caucasian,25 - 45,Low,Male,5,-1,3,84002,1
27,F,Non-Caucasian,25 - 45,High,Male,15,-1,10,99635,2
38,M,Caucasian,25 - 45,Low,Male,4,-1,2,169585,2
22,F,Non-Caucasian,Less than 25,Low,Male,1,-1,4,89707,2
29,F,Non-Caucasian,25 - 45,High,Male,4,-1,9,1638160,2
62,M,Non-Caucasian,Greater than 45,Low,Male,0,0,1,-10301,1
27,F,Non-Caucasian,25 - 45,Medium,Male,6,0,6,2602045,2
33,M,Non-Caucasian,25 - 45,Low,Male,0,-1,1,118062,1
56,M,Non-Caucasian,Greater than 45,Low,Female,0,0,1,276454,1
45,F,Non-Caucasian,Greater than 45,Low,Male,6,-1,1,20905736,2
22,F,Non-Caucasian,Less than 25,Low,Male,1,-1,4,91320,1
39,M,Non-Caucasian,25 - 45,Low,Male,1,-1,4,423424,1
29,F,Non-Caucasian,25 - 45,Medium,Male,5,0,6,97615,2
27,F,Caucasian,25 - 45,Medium,Male,1,-1,6,1231256,2
40,F,Non-Caucasian,25 - 45,Low,Male,2,-15,2,275469,1
22,M,Non-Caucasian,Less than 25,Low,Male,1,0,3,1454219,2
22,F,Caucasian,Less than 25,High,Male,0,-1,8,5004482,1
26,F,Non-Caucasian,25 - 45,Low,Female,1,-1,4,173165,2
32,F,Non-Caucasian,25 - 45,Low,Male,0,-1,2,99311,1
41,M,Non-Caucasian,25 - 45,Low,Male,1,-1,2,144609,1
30,M,Non-Caucasian,25 - 45,High,Male,8,-1,10,106349,2
50,F,Non-Caucasian,Greater than 45,Low,Male,0,-1,1,71182,2
25,F,Non-Caucasian,25 - 45,High,Male,14,-1,10,617114,2
20,F,Non-Caucasian,Less than 25,Medium,Male,0,-1,5,95102,2
22,F,Non-Caucasian,Less than 25,High,Male,2,0,9,2599185,2
35,M,Non-Caucasian,25 - 45,Low,Female,1,-1,2,73018,1
36,F,Non-Caucasian,25 - 45,Medium,Male,9,0,7,316942,2
26,F,Caucasian,25 - 45,High,Male,7,0,8,9344,2
21,F,Non-Caucasian,Less than 25,Medium,Male,1,0,6,338750,2
25,F,Caucasian,25 - 45,High,Male,9,-1,8,86169,2
20,F,Caucasian,Less than 25,Medium,Female,0,-1,7,51307,1
39,F,Caucasian,25 - 45,Low,Male,2,-2,1,-19024,2
54,M,Caucasian,Greater than 45,Low,Female,0,0,1,24540,1
44,M,Non-Caucasian,25 - 45,Low,Female,0,-2,1,97435,1
19,M,Non-Caucasian,Less than 25,Low,Male,1,-10,4,786193,2
30,F,Non-Caucasian,25 - 45,Low,Male,1,-1,2,80631,1
39,F,Caucasian,25 - 45,Low,Female,0,-1,1,145823,2
24,F,Caucasian,Less than 25,Medium,Male,8,-1,6,1053162,2
30,F,Caucasian,25 - 45,Low,Male,0,-1,4,515901,1
31,M,Caucasian,25 - 45,Medium,Male,0,-1,5,3367076,1
39,F,Caucasian,25 - 45,Low,Female,1,-1,4,9233297,1
43,F,Caucasian,25 - 45,Low,Male,1,-30,1,89603,1
21,F,Non-Caucasian,Less than 25,High,Male,3,-1,9,542197,2
38,M,Caucasian,25 - 45,Low,Male,5,-1,4,245764,2
34,F,Caucasian,25 - 45,Medium,Male,0,0,5,1289425,1
33,F,Non-Caucasian,25 - 45,Medium,Male,5,0,5,24696,2
37,F,Non-Caucasian,25 - 45,Low,Male,3,0,2,109932,1
42,F,Caucasian,25 - 45,Low,Male,1,0,2,78617,2
41,F,Non-Caucasian,25 - 45,High,Male,10,0,9,15207281,2
22,F,Non-Caucasian,Less than 25,Low,Male,0,-1,4,75865,2
33,F,Non-Caucasian,25 - 45,High,Male,28,-1,8,158472,2
31,M,Non-Caucasian,25 - 45,Medium,Male,1,-1,7,102628,1
30,F,Non-Caucasian,25 - 45,Low,Female,1,-1,2,96126,1
31,F,Caucasian,25 - 45,High,Male,13,-1,10,40716816,2
27,F,Non-Caucasian,25 - 45,High,Male,3,-1,9,83942,2
52,M,Caucasian,Greater than 45,High,Male,3,-2,9,54669,1
33,F,Non-Caucasian,25 - 45,High,Male,19,-1,10,74911,2
42,F,Caucasian,25 - 45,Low,Male,6,-4,3,-10804,1
25,F,Caucasian,25 - 45,Low,Female,2,-1,4,262593,1
30,M,Caucasian,25 - 45,Low,Male,1,-20,2,329506,1
37,M,Non-Caucasian,25 - 45,Low,Female,2,-1,2,149235,1
28,M,Caucasian,25 - 45,Low,Male,0,-1,2,76677,2
24,M,Non-Caucasian,Less than 25,Low,Female,0,-1,2,210911,1
29,F,Caucasian,25 - 45,Low,Female,10,-1,4,613383,2
44,M,Caucasian,25 - 45,Low,Male,2,0,2,-2013,2
32,F,Non-Caucasian,25 - 45,Medium,Male,3,-1,7,696586,2
31,M,Caucasian,25 - 45,Low,Male,2,-16,3,1307250,2
31,M,Non-Caucasian,25 - 45,Low,Male,1,-1,2,92259,1
59,F,Caucasian,Greater than 45,Low,Male,1,-1,2,49970,2
20,F,Non-Caucasian,Less than 25,High,Female,1,0,10,239367,1
43,M,Caucasian,25 - 45,Low,Female,0,0,1,83414,1
38,F,Non-Caucasian,25 - 45,High,Male,9,-1,8,1134516,2
32,F,Non-Caucasian,25 - 45,Medium,Male,11,-2,6,110281,2
33,M,Non-Caucasian,25 - 45,Medium,Male,8,-1,5,64386,2
31,F,Non-Caucasian,25 - 45,Low,Female,0,-1,3,154232,2
33,F,Non-Caucasian,25 - 45,High,Female,7,-1,9,2261911,2
27,F,Non-Caucasian,25 - 45,High,Male,2,-1,9,93563,2
20,F,Non-Caucasian,Less than 25,Medium,Female,0,0,6,13758,1
26,M,Caucasian,25 - 45,Medium,Female,0,-2,6,77306,1
61,F,Non-Caucasian,Greater than 45,Low,Female,1,-1,1,65333,2
52,F,Non-Caucasian,Greater than 45,Medium,Male,13,-1,7,150032,2
63,F,Non-Caucasian,Greater than 45,Low,Male,1,-26,1,1279363,1
32,F,Non-Caucasian,25 - 45,High,Female,4,-7,10,588710,2
29,F,Non-Caucasian,25 - 45,Low,Male,1,-1,4,76489,1
26,M,Non-Caucasian,25 - 45,Low,Female,2,-1,4,65779,2
39,M,Caucasian,25 - 45,Low,Male,1,-1,4,339005,1
30,F,Caucasian,25 - 45,Medium,Female,3,0,7,45799335,2
30,F,Non-Caucasian,25 - 45,Medium,Male,1,0,7,6059005,1
48,M,Caucasian,Greater than 45,Low,Male,2,-1,2,71444,1
22,F,Non-Caucasian,Less than 25,Low,Male,1,-1,2,74808,1
46,F,Caucasian,Greater than 45,Low,Male,6,22,1,1958940,2
31,F,Caucasian,25 - 45,Medium,Male,0,0,5,196044,1
25,M,Non-Caucasian,25 - 45,Low,Male,1,-1,2,165829,2
23,F,Non-Caucasian,Less than 25,Low,Male,0,-1,3,3576,1
32,F,Non-Caucasian,25 - 45,Medium,Female,5,-1,7,95158,1
52,M,Non-Caucasian,Greater than 45,Low,Male,2,-1,1,265776,1
62,F,Non-Caucasian,Greater than 45,Low,Male,8,0,4,1352621,1
31,F,Non-Caucasian,25 - 45,High,Male,8,29,9,10128261,2
28,M,Non-Caucasian,25 - 45,Medium,Male,6,-1,6,59892,2
54,F,Non-Caucasian,Greater than 45,Low,Male,2,-1,1,16276060,1
58,F,Non-Caucasian,Greater than 45,Low,Male,0,-1,2,58754,1
78,M,Caucasian,Greater than 45,Low,Male,1,-1,1,74003,2
56,F,Caucasian,Greater than 45,Low,Male,0,-1,1,100576,1
24,F,Non-Caucasian,Less than 25,Low,Male,0,-1,2,170643,1
22,F,Non-Caucasian,Less than 25,Medium,Male,1,0,5,122,2
47,M,Non-Caucasian,Greater than 45,High,Male,23,-1,8,74822,2
23,M,Non-Caucasian,Less than 25,Low,Male,0,-1,2,89606,2
57,F,Non-Caucasian,Greater than 45,Low,Male,1,0,1,1701912,1
66,F,Non-Caucasian,Greater than 45,Low,Male,3,-10,1,174030,1
45,M,Caucasian,Greater than 45,Low,Male,8,0,4,6140379,2
37,M,Non-Caucasian,25 - 45,High,Male,2,0,9,18819,2
39,F,Caucasian,25 - 45,Low,Male,0,0,4,79694,2
26,F,Non-Caucasian,25 - 45,High,Male,9,0,9,6851133,2
45,F,Caucasian,Greater than 45,Low,Male,2,-1,3,31014908,1
23,F,Non-Caucasian,Less than 25,Low,Male,0,-1,3,84441,2
34,M,Non-Caucasian,25 - 45,Low,Male,2,0,2,2222093,1
23,M,Non-Caucasian,Less than 25,Low,Female,1,-1,4,71590,1
36,M,Non-Caucasian,25 - 45,Low,Male,2,-1,3,258055,2
50,F,Caucasian,Greater than 45,Low,Male,1,-4,1,149651,1
37,M,Caucasian,25 - 45,Low,Female,0,-1,3,22030,1
44,M,Caucasian,25 - 45,Low,Male,4,0,4,107409,1
35,F,Non-Caucasian,25 - 45,High,Female,23,-1,9,180966,2
24,F,Non-Caucasian,Less than 25,Medium,Male,5,-1,5,73476,2
26,F,Non-Caucasian,25 - 45,High,Male,2,-1,10,98642,2
27,M,Non-Caucasian,25 - 45,Low,Male,0,-1,2,235995,1
28,F,Non-Caucasian,25 - 45,High,Female,0,0,8,2515750,1
28,F,Caucasian,25 - 45,High,Female,7,-1,9,88273,2
38,F,Non-Caucasian,25 - 45,Low,Male,2,-1,1,105222,1
28,F,Non-Caucasian,25 - 45,High,Female,1,-1,9,3355013,1
56,F,Caucasian,Greater than 45,Low,Male,7,-1,1,52299,2
38,F,Non-Caucasian,25 - 45,High,Male,15,-1,9,152271,1
28,M,Non-Caucasian,25 - 45,Medium,Male,2,-1,5,64084,1
51,M,Caucasian,Greater than 45,Low,Female,0,-1,1,62558,2
51,M,Caucasian,Greater than 45,Low,Male,0,-1,2,76742,1
36,M,Non-Caucasian,25 - 45,Low,Male,1,-1,1,92789,2
48,F,Non-Caucasian,Greater than 45,Low,Male,0,-1,1,95007,1
37,F,Caucasian,25 - 45,Low,Male,4,0,3,159868,2
30,F,Non-Caucasian,25 - 45,Medium,Female,2,-1,7,241785,1
41,M,Non-Caucasian,25 - 45,Medium,Female,5,0,6,20884,1
27,F,Non-Caucasian,25 - 45,High,Male,11,-1,10,19281941,2
37,M,Non-Caucasian,25 - 45,Low,Male,0,-1,1,154032,1
33,F,Non-Caucasian,25 - 45,Low,Male,4,0,4,184629,2
54,F,Non-Caucasian,Greater than 45,High,Male,11,-1,9,11221645,1
23,F,Non-Caucasian,Less than 25,High,Male,2,-1,9,6208043,1
41,M,Non-Caucasian,25 - 45,Low,Male,0,0,1,74838,1
52,F,Caucasian,Greater than 45,Low,Male,0,-1,1,77741,1
43,F,Caucasian,25 - 45,Low,Male,13,0,4,4434621,2
52,F,Non-Caucasian,Greater than 45,Low,Male,0,-1,4,1204188,1
28,F,Caucasian,25 - 45,Low,Male,1,-3,1,282809,1
30,M,Non-Caucasian,25 - 45,High,Male,11,-1,9,105647,2
28,F,Caucasian,25 - 45,Medium,Male,1,0,5,533057,1
22,F,Non-Caucasian,Less than 25,Low,Male,0,-1,4,79798,1
30,F,Non-Caucasian,25 - 45,Low,Male,4,0,2,-10997,1
25,F,Non-Caucasian,25 - 45,Low,Male,4,0,4,105124,1
31,F,Caucasian,25 - 45,High,Male,0,-1,8,2677077,2
37,F,Caucasian,25 - 45,Low,Male,0,-1,2,3024546,2
32,F,Non-Caucasian,25 - 45,High,Male,14,-1,9,99710,1
53,M,Caucasian,Greater than 45,Low,Male,1,-1,1,90469,1
28,F,Non-Caucasian,25 - 45,High,Male,25,29,8,2243545,2
44,M,Caucasian,25 - 45,Medium,Male,8,-1,5,430704,2
25,F,Non-Caucasian,25 - 45,Low,Male,0,0,3,29490,1
22,M,Caucasian,Less than 25,High,Male,1,0,8,513579,2
37,M,Non-Caucasian,25 - 45,Low,Female,0,-1,1,86731,1
40,F,Non-Caucasian,25 - 45,Low,Female,3,-1,2,86532,1
31,M,Non-Caucasian,25 - 45,Low,Female,0,-1,2,79117,1
23,F,Non-Caucasian,Less than 25,Medium,Male,1,-1,6,108629,2
23,F,Caucasian,Less than 25,Medium,Female,5,-1,5,65318,2
24,M,Non-Caucasian,Less than 25,High,Male,0,-3,8,57078,1
29,M,Non-Caucasian,25 - 45,Low,Male,1,-1,3,83317,1
20,F,Non-Caucasian,Less than 25,High,Male,1,-1,8,97208,2
30,F,Non-Caucasian,25 - 45,Medium,Male,2,-1,6,149683,2
39,F,Non-Caucasian,25 - 45,Low,Male,0,-1,1,78127,1
27,F,Non-Caucasian,25 - 45,Low,Male,4,-1,4,84172,1
37,F,Non-Caucasian,25 - 45,Low,Female,2,0,1,68120,1
20,F,Non-Caucasian,Less than 25,High,Male,0,-1,8,239425,1
22,F,Non-Caucasian,Less than 25,Medium,Male,0,0,7,178342,1
52,F,Non-Caucasian,Greater than 45,Low,Female,0,-1,1,57438,1
23,F,Non-Caucasian,Less than 25,Low,Female,0,-1,4,327387,2
48,F,Non-Caucasian,Greater than 45,Low,Female,0,-1,2,159811,1
25,F,Caucasian,25 - 45,Medium,Male,0,0,5,16517,1
27,F,Caucasian,25 - 45,Medium,Male,0,-1,6,148353,2
30,F,Non-Caucasian,25 - 45,Medium,Male,11,0,7,87082,2
22,M,Non-Caucasian,Less than 25,High,Male,3,-1,10,116347,2
22,F,Caucasian,Less than 25,Low,Female,1,-1,3,82903,1
41,M,Non-Caucasian,25 - 45,Low,Female,2,-1,3,82159,1
25,F,Non-Caucasian,25 - 45,Low,Female,0,-1,2,78860,1
52,F,Non-Caucasian,Greater than 45,Medium,Male,3,0,6,2153420,2
43,F,Non-Caucasian,25 - 45,Low,Male,0,-1,1,3543185,1
37,F,Caucasian,25 - 45,Low,Male,3,-4,1,249777,1
70,M,Caucasian,Greater than 45,Low,Male,1,-13,1,1121200,1
46,F,Caucasian,Greater than 45,Low,Male,3,-1,4,1228177,1
21,M,Non-Caucasian,Less than 25,High,Male,0,-1,9,96878,2
26,M,Non-Caucasian,25 - 45,High,Male,1,-1,8,160090,2
38,F,Non-Caucasian,25 - 45,Low,Male,3,23,1,166778,2
34,M,Caucasian,25 - 45,Low,Male,5,-1,4,103125,1
34,M,Non-Caucasian,25 - 45,Low,Male,5,-1,4,83192,1
23,F,Caucasian,Less than 25,Medium,Male,0,0,5,56304,2
34,F,Non-Caucasian,25 - 45,Low,Male,5,-1,4,243450,2
39,F,Non-Caucasian,25 - 45,Low,Male,6,-1,3,247196,2
24,F,Non-Caucasian,Less than 25,Low,Male,0,-1,3,91534,1
58,F,Caucasian,Greater than 45,Low,Male,2,-1,3,153599,1
21,M,Non-Caucasian,Less than 25,Medium,Female,0,0,6,75441,1
23,M,Non-Caucasian,Less than 25,High,Male,4,-11,8,965012,2
62,F,Caucasian,Greater than 45,Low,Male,0,0,1,168152,1
37,F,Caucasian,25 - 45,Low,Male,5,-1,3,946920,1
43,F,Non-Caucasian,25 - 45,Low,Male,2,-1,2,682622,2
32,F,Non-Caucasian,25 - 45,Low,Female,5,0,1,-7778,1
23,F,Non-Caucasian,Less than 25,Low,Male,0,-1,3,3967590,1
27,M,Non-Caucasian,25 - 45,Low,Male,0,0,1,69165,1
44,M,Caucasian,25 - 45,Low,Male,0,-1,1,105646,2
28,M,Caucasian,25 - 45,Low,Male,3,-1,3,83989,2
42,F,Caucasian,25 - 45,Low,Female,0,-3,2,96184,1
24,F,Non-Caucasian,Less than 25,High,Male,9,-1,10,399301,2
27,F,Non-Caucasian,25 - 45,Low,Male,0,0,2,1488374,1
20,F,Non-Caucasian,Less than 25,High,Male,0,-1,10,72400,2
51,M,Caucasian,Greater than 45,Low,Female,0,0,1,110283,1
56,M,Caucasian,Greater than 45,Low,Male,0,0,1,106780,1
29,F,Non-Caucasian,25 - 45,High,Male,7,-1,9,101579,1
20,F,Non-Caucasian,Less than 25,High,Male,0,-1,9,18135589,2
27,F,Caucasian,25 - 45,Medium,Male,8,-1,5,5887358,1
24,F,Non-Caucasian,Less than 25,High,Male,2,-1,9,1652137,2
53,F,Caucasian,Greater than 45,Medium,Male,36,-7,6,2850705,2
28,M,Caucasian,25 - 45,Low,Male,2,0,3,105110,2
21,F,Non-Caucasian,Less than 25,Medium,Male,3,-22,5,1906611,1
36,F,Non-Caucasian,25 - 45,Medium,Female,0,-1,7,1037082,1
25,M,Caucasian,25 - 45,Low,Female,2,-2,4,90423,2
23,M,Non-Caucasian,Less than 25,Low,Female,1,0,3,36888,1
28,F,Caucasian,25 - 45,Medium,Male,1,-4,5,102113,1
21,F,Non-Caucasian,Less than 25,High,Female,0,-1,8,101735,2
36,M,Caucasian,25 - 45,Low,Male,0,-1,3,60246,1
24,F,Non-Caucasian,Less than 25,Low,Male,0,-1,3,64243,1
30,F,Non-Caucasian,25 - 45,Low,Male,1,-1,2,53229,2
29,F,Non-Caucasian,25 - 45,Low,Male,0,-1,1,107776,1
30,M,Caucasian,25 - 45,Medium,Female,0,0,6,337431,1
51,M,Non-Caucasian,Greater than 45,Low,Male,1,-1,1,99292,1
32,F,Non-Caucasian,25 - 45,High,Male,12,-1,9,134027,2
23,F,Non-Caucasian,Less than 25,Medium,Male,1,0,6,94310,1
47,F,Non-Caucasian,Greater than 45,Low,Male,3,0,3,16135,1
37,F,Caucasian,25 - 45,Low,Male,0,-1,1,1644150,1
19,F,Non-Caucasian,Less than 25,High,Male,2,-1,10,102929,2
27,M,Non-Caucasian,25 - 45,High,Male,0,-1,8,180634,1
39,M,Non-Caucasian,25 - 45,Low,Male,0,-1,1,72033,1
21,F,Caucasian,Less than 25,Medium,Female,0,0,6,14793,1
69,M,Caucasian,Greater than 45,Low,Male,0,-1,1,81831,1
21,F,Caucasian,Less than 25,Medium,Male,2,-1,6,180588,1
26,M,Non-Caucasian,25 - 45,High,Male,6,0,10,323029,2
22,F,Caucasian,Less than 25,Low,Male,0,-2,4,4517,1
23,F,Non-Caucasian,Less than 25,Medium,Female,0,-1,5,58788,2
49,F,Non-Caucasian,Greater than 45,Medium,Male,3,0,5,322650,1
29,M,Non-Caucasian,25 - 45,Low,Male,2,-1,4,4388879,1
60,M,Caucasian,Greater than 45,Low,Female,0,-1,1,75692,1
23,F,Non-Caucasian,Less than 25,High,Male,3,0,10,21422,2
20,F,Non-Caucasian,Less than 25,Low,Female,1,-21,4,255196,1
36,F,Non-Caucasian,25 - 45,Low,Male,1,0,3,8217110,1
30,F,Caucasian,25 - 45,Low,Male,0,0,4,158850,1
21,F,Non-Caucasian,Less than 25,Low,Male,1,-1,3,-20100,1
22,M,Caucasian,Less than 25,Medium,Male,2,-1,6,72676,2
21,F,Non-Caucasian,Less than 25,High,Male,4,-1,9,19001227,2
21,F,Non-Caucasian,Less than 25,Medium,Male,0,-1,5,1049754,2
34,M,Caucasian,25 - 45,Low,Male,1,0,1,18186,1
50,M,Caucasian,Greater than 45,Low,Female,1,-1,1,78101,2
40,F,Caucasian,25 - 45,Medium,Male,0,-1,7,715813,2
25,F,Non-Caucasian,25 - 45,High,Male,7,-1,8,10990777,2
53,M,Caucasian,Greater than 45,Low,Female,1,-1,1,72900,1
24,F,Non-Caucasian,Less than 25,Low,Female,0,-1,4,101206,1
42,F,Non-Caucasian,25 - 45,Low,Male,1,-12,1,365597,1
28,M,Non-Caucasian,25 - 45,Low,Male,1,-1,3,156936,1
26,F,Non-Caucasian,25 - 45,High,Male,6,-1,8,87611,2
22,F,Non-Caucasian,Less than 25,High,Male,4,-1,9,22480878,2
21,M,Caucasian,Less than 25,Medium,Male,3,-8,7,509976,1
37,F,Non-Caucasian,25 - 45,High,Male,23,-1,9,1491666,2
35,F,Non-Caucasian,25 - 45,Medium,Male,2,-1,5,450439,1
53,F,Non-Caucasian,Greater than 45,Low,Male,2,-1,1,63072,1
29,F,Non-Caucasian,25 - 45,Low,Male,7,-1,4,106423,1
48,F,Caucasian,Greater than 45,High,Male,23,-1,8,31185133,2
52,M,Caucasian,Greater than 45,Low,Female,0,0,1,15678,1
27,F,Non-Caucasian,25 - 45,High,Male,12,-1,8,2760061,2
28,F,Non-Caucasian,25 - 45,High,Male,5,0,9,4427898,1
33,M,Caucasian,25 - 45,Low,Male,3,0,3,23620,1
28,F,Non-Caucasian,25 - 45,Low,Female,0,-1,2,205722,1
36,F,Non-Caucasian,25 - 45,Medium,Male,14,-1,7,81215,2
29,F,Non-Caucasian,25 - 45,Medium,Male,2,-1,5,160664,1
22,M,Non-Caucasian,Less than 25,High,Male,0,0,9,1841397,2
25,F,Caucasian,25 - 45,Low,Male,0,0,2,17156,1
56,F,Non-Caucasian,Greater than 45,Low,Male,5,-1,3,1043560,1
27,F,Non-Caucasian,25 - 45,High,Male,9,-1,8,4503122,2
52,F,Caucasian,Greater than 45,Low,Male,4,-1,1,607514,2
32,F,Non-Caucasian,25 - 45,Low,Male,3,0,2,98174,1
60,F,Non-Caucasian,Greater than 45,Low,Male,4,-1,1,99293,1
23,M,Non-Caucasian,Less than 25,Low,Male,1,-5,3,447858,1
39,M,Caucasian,25 - 45,Medium,Female,0,-2,6,82778,1
56,M,Caucasian,Greater than 45,Low,Male,0,-1,1,84230,1
22,F,Non-Caucasian,Less than 25,Medium,Female,0,0,7,22141,1
53,F,Non-Caucasian,Greater than 45,Medium,Male,11,-1,6,9505557,1
25,M,Caucasian,25 - 45,Low,Male,0,0,2,17400,2
21,M,Non-Caucasian,Less than 25,Low,Male,0,0,3,16317,1
22,F,Caucasian,Less than 25,Low,Male,0,-1,3,169848,1
58,M,Caucasian,Greater than 45,Low,Female,2,-23,1,102807,1
31,M,Non-Caucasian,25 - 45,Low,Male,7,0,3,93233,2
22,F,Caucasian,Less than 25,Medium,Male,1,-1,5,50497,2
28,F,Non-Caucasian,25 - 45,Medium,Male,8,-1,6,299246,2
42,F,Non-Caucasian,25 - 45,Low,Male,1,-1,1,177055,1
20,F,Non-Caucasian,Less than 25,Medium,Male,0,0,7,78388,2
29,M,Caucasian,25 - 45,Medium,Male,0,0,6,468747,2
58,M,Non-Caucasian,Greater than 45,Medium,Male,21,-1,7,5107655,2
22,F,Non-Caucasian,Less than 25,Medium,Male,3,-1,7,9172597,1
48,M,Non-Caucasian,Greater than 45,Low,Male,1,0,1,86069,2
37,F,Caucasian,25 - 45,Low,Male,0,0,4,12403,1
57,F,Non-Caucasian,Greater than 45,Medium,Male,1,-1,5,2227732,2
27,M,Caucasian,25 - 45,Low,Male,3,-22,1,-750,1
26,F,Non-Caucasian,25 - 45,Low,Male,3,0,4,2855836,1
24,F,Caucasian,Less than 25,High,Male,3,0,8,17850,2
33,F,Caucasian,25 - 45,Low,Male,0,-1,1,107688,1
29,F,Non-Caucasian,25 - 45,Medium,Male,2,-1,6,83751,1
24,F,Non-Caucasian,Less than 25,High,Female,3,-1,10,86998,2
19,F,Caucasian,Less than 25,High,Male,1,-1,10,2767430,2
36,M,Caucasian,25 - 45,Low,Male,2,-1,1,85292,1
24,F,Caucasian,Less than 25,Medium,Female,0,0,5,19758,1
34,M,Caucasian,25 - 45,Low,Male,0,0,1,5154,1
25,F,Non-Caucasian,25 - 45,Medium,Male,2,-1,5,58418,2
20,F,Non-Caucasian,Less than 25,High,Male,1,-1,10,86533,2
24,M,Non-Caucasian,Less than 25,Low,Male,1,-1,2,169468,2
61,F,Caucasian,Greater than 45,Low,Male,4,-1,1,152892,1
50,F,Non-Caucasian,Greater than 45,Low,Female,3,0,2,-13962,1
30,M,Non-Caucasian,25 - 45,Low,Male,1,0,1,386262,1
38,F,Non-Caucasian,25 - 45,Low,Male,5,-1,3,106079,1
24,M,Caucasian,Less than 25,Low,Male,0,-1,1,57225,1
46,F,Non-Caucasian,Greater than 45,High,Female,2,-1,10,839249,2
41,M,Caucasian,25 - 45,Low,Male,0,-1,1,333329,2
20,F,Non-Caucasian,Less than 25,High,Male,0,-1,8,1918816,2
27,M,Non-Caucasian,25 - 45,High,Male,13,-1,8,98820,2
26,M,Non-Caucasian,25 - 45,Medium,Male,1,-1,6,1129207,2
29,F,Non-Caucasian,25 - 45,Medium,Male,3,0,5,94942,2
