age,workclass,fnlwgt,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,Class
38,Private,65324,Profschool,15,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,40,UnitedStates,>50K
56,Selfempnotinc,335605,HSgrad,9,Marriedcivspouse,Otherservice,Husband,White,Male,0,1887,50,Canada,>50K
28,Private,377869,Somecollege,10,Marriedcivspouse,Sales,Wife,White,Female,4064,0,25,UnitedStates,<=50K
36,Private,102864,HSgrad,9,Nevermarried,Machineopinspct,Ownchild,White,Female,0,0,40,UnitedStates,<=50K
53,Private,95647,9th,5,Marriedcivspouse,Handlerscleaners,Husband,White,Male,0,0,50,UnitedStates,<=50K
56,Selfempinc,303090,Somecollege,10,Marriedcivspouse,Sales,Husband,White,Male,0,0,50,UnitedStates,<=50K
49,Localgov,197371,Assocvoc,11,Marriedcivspouse,Craftrepair,Husband,Black,Male,0,0,40,UnitedStates,>50K
55,Private,247552,Somecollege,10,Marriedcivspouse,Sales,Husband,White,Male,0,0,56,UnitedStates,<=50K
22,Private,102632,HSgrad,9,Nevermarried,Craftrepair,Notinfamily,White,Male,0,0,41,UnitedStates,<=50K
21,Private,199915,Somecollege,10,Nevermarried,Otherservice,Ownchild,White,Female,0,0,40,UnitedStates,<=50K
40,Private,118853,Bachelors,13,Marriedcivspouse,Execmanagerial,Husband,White,Male,0,0,60,UnitedStates,<=50K
30,Private,77143,Bachelors,13,Nevermarried,Execmanagerial,Ownchild,Black,Male,0,0,40,Germany,<=50K
29,Stategov,267989,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,50,UnitedStates,>50K
19,Private,301606,Somecollege,10,Nevermarried,Otherservice,Ownchild,Black,Male,0,0,35,UnitedStates,<=50K
47,Private,287828,Bachelors,13,Marriedcivspouse,Execmanagerial,Wife,White,Female,0,0,40,UnitedStates,>50K
20,Private,111697,Somecollege,10,Nevermarried,Admclerical,Ownchild,White,Female,0,1719,28,UnitedStates,<=50K
31,Private,114937,Assocacdm,12,Marriedcivspouse,Admclerical,Husband,White,Male,0,0,40,UnitedStates,>50K
35,,129305,HSgrad,9,Marriedcivspouse,,Husband,White,Male,0,0,40,UnitedStates,<=50K
39,Private,365739,Somecollege,10,Divorced,Craftrepair,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
28,Private,69621,Assocacdm,12,Nevermarried,Sales,Notinfamily,White,Female,0,0,60,UnitedStates,<=50K
24,Private,43323,HSgrad,9,Nevermarried,Otherservice,Notinfamily,White,Female,0,1762,40,UnitedStates,<=50K
38,Selfempnotinc,120985,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,4386,0,35,UnitedStates,<=50K
37,Private,254202,Bachelors,13,Marriedcivspouse,Sales,Husband,White,Male,0,0,50,UnitedStates,<=50K
46,Private,146195,Assocacdm,12,Divorced,Techsupport,Notinfamily,Black,Female,0,0,36,UnitedStates,<=50K
38,Federalgov,125933,Masters,14,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,40,Iran,>50K
43,Selfempnotinc,56920,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,60,UnitedStates,<=50K
27,Private,163127,Assocvoc,11,Marriedcivspouse,Admclerical,Wife,White,Female,0,0,35,UnitedStates,<=50K
20,Private,34310,Somecollege,10,Nevermarried,Sales,Ownchild,White,Male,0,0,20,UnitedStates,<=50K
49,Private,81973,Somecollege,10,Marriedcivspouse,Craftrepair,Husband,AsianPacIslander,Male,0,0,40,UnitedStates,>50K
61,Selfempinc,66614,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,40,UnitedStates,<=50K
27,Private,232782,Somecollege,10,Nevermarried,Sales,Ownchild,White,Female,0,0,40,UnitedStates,<=50K
19,Private,316868,Somecollege,10,Nevermarried,Otherservice,Ownchild,White,Male,0,0,30,Mexico,<=50K
45,Private,196584,Assocvoc,11,Nevermarried,Profspecialty,Notinfamily,White,Female,0,1564,40,UnitedStates,>50K
70,Private,105376,Somecollege,10,Nevermarried,Techsupport,Otherrelative,White,Male,0,0,40,UnitedStates,<=50K
31,Private,185814,HSgrad,9,Nevermarried,Transportmoving,Unmarried,Black,Female,0,0,30,UnitedStates,<=50K
22,Private,175374,Somecollege,10,Marriedcivspouse,Otherservice,Husband,White,Male,0,0,24,UnitedStates,<=50K
36,Private,108293,HSgrad,9,Widowed,Otherservice,Unmarried,White,Female,0,0,24,UnitedStates,<=50K
64,Private,181232,11th,7,Marriedcivspouse,Craftrepair,Husband,White,Male,0,2179,40,UnitedStates,<=50K
43,,174662,Somecollege,10,Divorced,,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
47,Localgov,186009,Somecollege,10,Divorced,Admclerical,Unmarried,White,Female,0,0,38,Mexico,<=50K
34,Private,198183,HSgrad,9,Nevermarried,Admclerical,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
33,Private,163003,Bachelors,13,Nevermarried,Execmanagerial,Otherrelative,AsianPacIslander,Female,0,0,40,Philippines,<=50K
21,Private,296158,HSgrad,9,Nevermarried,Craftrepair,Ownchild,White,Male,0,0,35,UnitedStates,<=50K
52,,252903,HSgrad,9,Divorced,,Notinfamily,White,Male,0,0,45,UnitedStates,>50K
48,Private,187715,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,46,UnitedStates,<=50K
23,Private,214542,Bachelors,13,Nevermarried,Handlerscleaners,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
71,Selfempnotinc,494223,Somecollege,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,UnitedStates,<=50K
29,Private,191535,HSgrad,9,Divorced,Craftrepair,Notinfamily,White,Male,0,0,60,UnitedStates,<=50K
42,Private,228456,Bachelors,13,Separated,Otherservice,Otherrelative,Black,Male,0,0,50,UnitedStates,<=50K
68,,38317,1st4th,2,Divorced,,Notinfamily,White,Female,0,0,20,UnitedStates,<=50K
25,Private,252752,HSgrad,9,Nevermarried,Otherservice,Unmarried,White,Female,0,0,40,UnitedStates,<=50K
44,Selfempinc,78374,Masters,14,Divorced,Execmanagerial,Unmarried,AsianPacIslander,Female,0,0,40,UnitedStates,<=50K
28,Private,88419,HSgrad,9,Nevermarried,Execmanagerial,Notinfamily,AsianPacIslander,Female,0,0,40,England,<=50K
45,Selfempnotinc,201080,Masters,14,Marriedcivspouse,Sales,Husband,White,Male,0,0,40,UnitedStates,>50K
36,Private,207157,Somecollege,10,Divorced,Otherservice,Unmarried,White,Female,0,0,40,Mexico,<=50K
39,Federalgov,235485,Assocacdm,12,Nevermarried,Execmanagerial,Notinfamily,White,Male,0,0,42,UnitedStates,<=50K
46,Stategov,102628,Masters,14,Widowed,Protectiveserv,Unmarried,White,Male,0,0,40,UnitedStates,<=50K
18,Private,25828,11th,7,Nevermarried,Handlerscleaners,Ownchild,White,Male,0,0,16,UnitedStates,<=50K
66,Localgov,54826,Assocvoc,11,Widowed,Profspecialty,Notinfamily,White,Female,0,0,20,UnitedStates,<=50K
27,Private,124953,HSgrad,9,Nevermarried,Otherservice,Notinfamily,White,Male,0,1980,40,UnitedStates,<=50K
28,Stategov,175325,HSgrad,9,Marriedcivspouse,Protectiveserv,Husband,White,Male,0,0,40,UnitedStates,<=50K
51,Private,96062,Somecollege,10,Marriedcivspouse,Sales,Husband,White,Male,0,1977,40,UnitedStates,>50K
27,Private,428030,Bachelors,13,Nevermarried,Craftrepair,Notinfamily,White,Male,0,0,50,UnitedStates,<=50K
28,Stategov,149624,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,40,UnitedStates,>50K
27,Private,253814,HSgrad,9,Marriedspouseabsent,Sales,Unmarried,White,Female,0,0,25,UnitedStates,<=50K
21,Private,312956,HSgrad,9,Nevermarried,Craftrepair,Ownchild,Black,Male,0,0,40,UnitedStates,<=50K
34,Private,483777,HSgrad,9,Nevermarried,Handlerscleaners,Notinfamily,Black,Male,0,0,40,UnitedStates,<=50K
18,Private,183930,HSgrad,9,Nevermarried,Otherservice,Ownchild,White,Male,0,0,12,UnitedStates,<=50K
33,Private,37274,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,65,UnitedStates,<=50K
44,Localgov,181344,Somecollege,10,Marriedcivspouse,Execmanagerial,Husband,Black,Male,0,0,38,UnitedStates,>50K
43,Private,114580,Somecollege,10,Divorced,Admclerical,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
30,Private,633742,Somecollege,10,Nevermarried,Craftrepair,Notinfamily,Black,Male,0,0,45,UnitedStates,<=50K
40,Private,286370,7th8th,4,Marriedcivspouse,Machineopinspct,Husband,White,Male,0,0,40,Mexico,>50K
37,Federalgov,29054,Somecollege,10,Marriedcivspouse,Admclerical,Husband,White,Male,0,0,42,UnitedStates,>50K
34,Private,304030,HSgrad,9,Marriedcivspouse,Admclerical,Husband,Black,Male,0,0,40,UnitedStates,<=50K
41,Selfempnotinc,143129,Bachelors,13,Divorced,Execmanagerial,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
53,,135105,Bachelors,13,Divorced,,Notinfamily,White,Female,0,0,50,UnitedStates,<=50K
31,Private,99928,Masters,14,Marriedcivspouse,Profspecialty,Wife,White,Female,0,0,50,UnitedStates,<=50K
58,Stategov,109567,Doctorate,16,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,1,UnitedStates,>50K
38,Private,155222,Somecollege,10,Divorced,Machineopinspct,Notinfamily,Black,Female,0,0,28,UnitedStates,<=50K
24,Private,159567,Somecollege,10,Marriedcivspouse,Machineopinspct,Husband,White,Male,0,0,40,UnitedStates,<=50K
41,Localgov,523910,Bachelors,13,Marriedcivspouse,Craftrepair,Husband,Black,Male,0,0,40,UnitedStates,<=50K
47,Private,120939,Somecollege,10,Marriedcivspouse,Techsupport,Husband,White,Male,0,0,45,UnitedStates,<=50K
41,Federalgov,130760,Bachelors,13,Marriedcivspouse,Techsupport,Husband,White,Male,0,0,24,UnitedStates,<=50K
23,Private,197387,5th6th,3,Marriedcivspouse,Transportmoving,Otherrelative,White,Male,0,0,40,Mexico,<=50K
36,Private,99374,Somecollege,10,Divorced,Craftrepair,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
40,Federalgov,56795,Masters,14,Nevermarried,Execmanagerial,Notinfamily,White,Female,14084,0,55,UnitedStates,>50K
35,Private,138992,Masters,14,Marriedcivspouse,Profspecialty,Otherrelative,White,Male,7298,0,40,UnitedStates,>50K
24,Selfempnotinc,32921,HSgrad,9,Nevermarried,Sales,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
26,Private,397317,Masters,14,Nevermarried,Profspecialty,Notinfamily,White,Female,0,1876,40,UnitedStates,<=50K
19,,170653,HSgrad,9,Nevermarried,,Ownchild,White,Male,0,0,40,Italy,<=50K
51,Private,259323,Bachelors,13,Marriedcivspouse,Execmanagerial,Husband,White,Male,0,0,50,UnitedStates,>50K
42,Localgov,254817,Somecollege,10,Nevermarried,Profspecialty,Notinfamily,White,Female,0,1340,40,UnitedStates,<=50K
37,Stategov,48211,HSgrad,9,Divorced,Admclerical,Unmarried,White,Female,0,0,35,UnitedStates,<=50K
18,Private,140164,11th,7,Nevermarried,Sales,Ownchild,White,Female,0,0,40,UnitedStates,<=50K
36,Private,128757,Bachelors,13,Marriedcivspouse,Otherservice,Husband,Black,Male,7298,0,36,UnitedStates,>50K
35,Private,36270,HSgrad,9,Divorced,Craftrepair,Notinfamily,White,Male,0,0,60,UnitedStates,<=50K
58,Selfempinc,210563,HSgrad,9,Marriedcivspouse,Sales,Wife,White,Female,15024,0,35,UnitedStates,>50K
17,Private,65368,11th,7,Nevermarried,Sales,Ownchild,White,Female,0,0,12,UnitedStates,<=50K
44,Localgov,160943,HSgrad,9,Marriedcivspouse,Transportmoving,Husband,Black,Male,0,0,40,UnitedStates,<=50K
37,Private,208358,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,40,UnitedStates,>50K
35,Private,153790,Somecollege,10,Nevermarried,Sales,Notinfamily,AmerIndianEskimo,Female,0,0,40,UnitedStates,<=50K
60,Private,85815,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,AsianPacIslander,Male,0,0,40,UnitedStates,<=50K
54,Selfempinc,125417,7th8th,4,Marriedcivspouse,Machineopinspct,Husband,White,Male,0,0,40,UnitedStates,>50K
37,Private,635913,Bachelors,13,Nevermarried,Execmanagerial,Notinfamily,Black,Male,0,0,60,UnitedStates,>50K
50,Private,313321,Assocacdm,12,Divorced,Sales,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
38,Private,182609,Bachelors,13,Marriedcivspouse,Sales,Husband,White,Male,0,0,50,Poland,<=50K
45,Private,109434,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,55,UnitedStates,<=50K
25,Private,255004,10th,6,Nevermarried,Craftrepair,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
31,Private,197860,Somecollege,10,Marriedcivspouse,Handlerscleaners,Husband,White,Male,0,0,40,UnitedStates,<=50K
64,,187656,1st4th,2,Divorced,,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
90,Private,51744,HSgrad,9,Nevermarried,Otherservice,Notinfamily,Black,Male,0,2206,40,UnitedStates,<=50K
54,Private,176681,HSgrad,9,Marriedcivspouse,Admclerical,Husband,Black,Male,0,0,20,UnitedStates,<=50K
53,Localgov,140359,Preschool,1,Nevermarried,Machineopinspct,Notinfamily,White,Female,0,0,35,UnitedStates,<=50K
18,Private,243313,HSgrad,9,Nevermarried,Sales,Ownchild,White,Female,0,0,40,UnitedStates,<=50K
60,,24215,10th,6,Divorced,,Notinfamily,AmerIndianEskimo,Female,0,0,10,UnitedStates,<=50K
66,Selfempnotinc,167687,HSgrad,9,Marriedcivspouse,Farmingfishing,Husband,White,Male,1409,0,50,UnitedStates,<=50K
75,Private,314209,Assocvoc,11,Widowed,Admclerical,Notinfamily,White,Female,0,0,20,Columbia,<=50K
65,Private,176796,HSgrad,9,Divorced,Admclerical,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
35,Private,538583,11th,7,Separated,Transportmoving,Notinfamily,Black,Male,3674,0,40,UnitedStates,<=50K
41,Private,130408,HSgrad,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,UnitedStates,<=50K
25,Private,159732,Somecollege,10,Nevermarried,Admclerical,Notinfamily,White,Male,0,0,42,UnitedStates,<=50K
